===============================================================
Gobuster v3.6
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     https://play.picoctf.org/practice?FUZZ=1
[+] Method:                  GET
[+] Threads:                 10
[+] Wordlist:                /home/piyal/SecLists/Discovery/Web-Content/BurpSuite-ParamMiner/lowercase-headers
[+] Excluded Status codes:   400,301
[+] User Agent:              gobuster/3.6
[+] Timeout:                 10s
===============================================================
Starting gobuster in fuzzing mode
===============================================================
[2KFound: [Status=200] [Length=2466] [Word=Client-Requested-Range-Not-Possible] https://play.picoctf.org/practice?Client-Requested-Range-Not-Possible=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Unauthorized] https://play.picoctf.org/practice?Client-Unauthorized=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Request-Timeout] https://play.picoctf.org/practice?Client-Request-Timeout=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Request-Too-Large] https://play.picoctf.org/practice?Client-Request-Too-Large=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Request-Uri-Too-Large] https://play.picoctf.org/practice?Client-Request-Uri-Too-Large=1
[2KFound: [Status=200] [Length=2466] [Word=Client-Unsupported-Media-Type] https://play.picoctf.org/practice?Client-Unsupported-Media-Type=1
[2KFound: [Status=200] [Length=2466] [Word=Cloudfront-Viewer-Country] https://play.picoctf.org/practice?Cloudfront-Viewer-Country=1
[2KFound: [Status=200] [Length=2466] [Word=Cloudinary-Name] https://play.picoctf.org/practice?Cloudinary-Name=1
[2KFound: [Status=200] [Length=2466] [Word=Cloudinary-Public-Id] https://play.picoctf.org/practice?Cloudinary-Public-Id=1
[2KFound: [Status=200] [Length=2466] [Word=Cloudinaryurl] https://play.picoctf.org/practice?Cloudinaryurl=1
[2KFound: [Status=200] [Length=2466] [Word=Cloudinary-Version] https://play.picoctf.org/practice?Cloudinary-Version=1
[2KFound: [Status=200] [Length=2466] [Word=Coming-From] https://play.picoctf.org/practice?Coming-From=1
[2KFound: [Status=200] [Length=2466] [Word=Code] https://play.picoctf.org/practice?Code=1
[2KFound: [Status=200] [Length=2466] [Word=Compress] https://play.picoctf.org/practice?Compress=1
[2KFound: [Status=200] [Length=2466] [Word=Conflict] https://play.picoctf.org/practice?Conflict=1
[2KFound: [Status=200] [Length=2466] [Word=Connection] https://play.picoctf.org/practice?Connection=1
[2KFound: [Status=200] [Length=2466] [Word=Connection-Type] https://play.picoctf.org/practice?Connection-Type=1
[2KFound: [Status=200] [Length=2466] [Word=Contact] https://play.picoctf.org/practice?Contact=1
[2KFound: [Status=200] [Length=2466] [Word=Content] https://play.picoctf.org/practice?Content=1
[2KFound: [Status=200] [Length=2466] [Word=Content-Disposition] https://play.picoctf.org/practice?Content-Disposition=1
[2KFound: [Status=200] [Length=2466] [Word=Content-Encoding] https://play.picoctf.org/practice?Content-Encoding=1
[2KFound: [Status=200] [Length=2466] [Word=Content-Language] https://play.picoctf.org/practice?Content-Language=1
[2KFound: [Status=200] [Length=2466] [Word=Content-Length] https://play.picoctf.org/practice?Content-Length=1
[2KFound: [Status=200] [Length=2466] [Word=Content-Location] https://play.picoctf.org/practice?Content-Location=1
[2KFound: [Status=200] [Length=2466] [Word=Content-Md5] https://play.picoctf.org/practice?Content-Md5=1
[2KFound: [Status=200] [Length=2466] [Word=Content-Range] https://play.picoctf.org/practice?Content-Range=1
[2KFound: [Status=200] [Length=2466] [Word=Content-Security-Policy] https://play.picoctf.org/practice?Content-Security-Policy=1
[2KFound: [Status=200] [Length=2466] [Word=Content-Security-Policy-Report-Only] https://play.picoctf.org/practice?Content-Security-Policy-Report-Only=1
[2KFound: [Status=200] [Length=2466] [Word=Content-Type] https://play.picoctf.org/practice?Content-Type=1
[2KFound: [Status=200] [Length=2466] [Word=Content-Type-Xhtml] https://play.picoctf.org/practice?Content-Type-Xhtml=1
[2KFound: [Status=200] [Length=2466] [Word=Continue] https://play.picoctf.org/practice?Continue=1
[2KFound: [Status=200] [Length=2466] [Word=Context-Path] https://play.picoctf.org/practice?Context-Path=1
[2KFound: [Status=200] [Length=2466] [Word=Cookie] https://play.picoctf.org/practice?Cookie=1
[2KFound: [Status=200] [Length=2466] [Word=Cookie2] https://play.picoctf.org/practice?Cookie2=1
[2KFound: [Status=200] [Length=2466] [Word=Cookie-Domain] https://play.picoctf.org/practice?Cookie-Domain=1
[2KFound: [Status=200] [Length=2466] [Word=Cookie-Parse-Raw] https://play.picoctf.org/practice?Cookie-Parse-Raw=1
[2KFound: [Status=200] [Length=2466] [Word=Cookie-Httponly] https://play.picoctf.org/practice?Cookie-Httponly=1
[2KFound: [Status=200] [Length=2466] [Word=Cookies] https://play.picoctf.org/practice?Cookies=1
[2KFound: [Status=200] [Length=2466] [Word=Cookie-Path] https://play.picoctf.org/practice?Cookie-Path=1
[2KFound: [Status=200] [Length=2466] [Word=Cookie-Secure] https://play.picoctf.org/practice?Cookie-Secure=1
[2KFound: [Status=200] [Length=2466] [Word=Cookie-Vars] https://play.picoctf.org/practice?Cookie-Vars=1
[2KFound: [Status=200] [Length=2466] [Word=Core-Base] https://play.picoctf.org/practice?Core-Base=1
[2KFound: [Status=200] [Length=2466] [Word=Created] https://play.picoctf.org/practice?Created=1
[2KFound: [Status=200] [Length=2466] [Word=Credentials-Filepath] https://play.picoctf.org/practice?Credentials-Filepath=1
[2KFound: [Status=200] [Length=2466] [Word=Curl] https://play.picoctf.org/practice?Curl=1
[2KFound: [Status=200] [Length=2466] [Word=Curl-Multithreaded] https://play.picoctf.org/practice?Curl-Multithreaded=1
[2KFound: [Status=200] [Length=2466] [Word=Custom-Header] https://play.picoctf.org/practice?Custom-Header=1
[2KFound: [Status=200] [Length=2466] [Word=Custom-Secret-Header] https://play.picoctf.org/practice?Custom-Secret-Header=1
[2KFound: [Status=200] [Length=2466] [Word=Debug] https://play.picoctf.org/practice?Debug=1
[2KFound: [Status=200] [Length=2466] [Word=Deflate-Strategy-Huff] https://play.picoctf.org/practice?Deflate-Strategy-Huff=1
[2KFound: [Status=200] [Length=2466] [Word=Deflate-Level-Def] https://play.picoctf.org/practice?Deflate-Level-Def=1
[2KFound: [Status=200] [Length=2466] [Word=Deflate-Strategy-Fixed] https://play.picoctf.org/practice?Deflate-Strategy-Fixed=1
[2KFound: [Status=200] [Length=2466] [Word=Deflate-Strategy-Filt] https://play.picoctf.org/practice?Deflate-Strategy-Filt=1
[2KFound: [Status=200] [Length=2466] [Word=Deflate-Level-Min] https://play.picoctf.org/practice?Deflate-Level-Min=1
[2KFound: [Status=200] [Length=2466] [Word=Deflate-Strategy-Def] https://play.picoctf.org/practice?Deflate-Strategy-Def=1
[2KFound: [Status=200] [Length=2466] [Word=Dataserviceversion] https://play.picoctf.org/practice?Dataserviceversion=1
[2KFound: [Status=200] [Length=2466] [Word=Date] https://play.picoctf.org/practice?Date=1
